Date,Open,High,Low,Close,Adj Close,Volume
2004-03-26,90.48,90.60,89.60,89.78,45.46,1378600
2004-03-29,89.05,89.23,88.90,89.18,45.15,2454000
2004-03-30,89.30,89.43,89.07,89.12,45.12,1021000
2004-03-31,89.25,89.63,89.21,89.55,45.34,1647300
2004-04-01,88.98,89.06,88.55,88.91,45.19,1309200
2004-04-02,87.13,87.13,86.41,86.71,44.07,2603700
2004-04-05,86.32,86.39,85.91,86.03,43.73,1422700
2004-04-06,86.40,86.50,86.20,86.50,43.97,1695400
2004-04-07,86.30,86.80,86.25,86.30,43.87,659600
2004-04-08,86.17,86.42,85.98,86.05,43.74,893700
2004-04-12,85.81,85.87,85.60,85.74,43.58,311700
2004-04-13,84.93,85.11,84.77,84.81,43.11,1449500
2004-04-14,83.98,84.76,83.98,84.74,43.07,2529200
2004-04-15,84.67,84.80,84.18,84.24,42.82,1184800
2004-04-16,84.68,84.87,84.41,84.56,42.98,986900
2004-04-19,84.85,84.91,84.30,84.38,42.89,682100
2004-04-20,84.27,84.43,83.61,83.61,42.50,1618700
2004-04-21,83.72,84.32,83.72,84.02,42.71,763600
2004-04-22,84.25,84.59,84.14,84.52,42.96,1024300
2004-04-23,84.11,84.34,83.75,84.04,42.72,963200
2004-04-26,84.09,84.29,84.06,84.18,42.79,515800
2004-04-27,84.40,84.55,84.08,84.50,42.95,1033400
2004-04-28,84.30,84.43,83.61,83.71,42.55,1215700
2004-04-29,83.75,84.18,83.01,83.30,42.34,2504900
2004-04-30,83.43,83.80,83.27,83.64,42.51,831500
2004-05-03,83.10,83.57,83.10,83.42,42.57,668800
2004-05-04,83.63,83.90,82.69,82.85,42.28,3950900
2004-05-05,83.26,83.26,82.50,82.62,42.16,2236600
2004-05-06,82.56,82.65,82.37,82.40,42.05,3163200
2004-05-07,81.45,81.50,81.10,81.32,41.50,1756400
2004-05-10,81.48,81.61,81.11,81.13,41.40,958700
2004-05-11,81.11,81.52,81.11,81.50,41.59,766000
2004-05-12,81.40,81.44,80.94,80.96,41.31,1945700
2004-05-13,80.89,80.92,80.51,80.65,41.15,1187000
2004-05-14,81.04,81.39,80.73,81.31,41.49,4086400
2004-05-17,81.87,82.07,81.68,82.03,41.86,1735600
2004-05-18,81.70,81.91,81.57,81.71,41.69,674200
2004-05-19,81.40,81.45,81.15,81.44,41.56,319200
2004-05-20,81.74,82.10,81.62,82.07,41.88,1745900
2004-05-21,82.37,82.38,81.59,81.74,41.71,1461900
